NAZIV USLUGE,KATEGORIJA,MALOPRODAJNA CIJENA (EUR),POSEBAN OBLIK PRODAJE,NAZIV POSEBNOG OBLIKA PRODAJE,SIDRENA CIJENA NA 10.9.2026. (EUR)
"Čišćenje lica (peeling, maska, masaža, UTZ špatula)",Tretmani lica,35.00,NE,,35.00
"Tretman dubinske hidratacije (za suhu i osjetljivu kožu, Skeyndor Aquatherm)",Tretmani lica,40.00,NE,,40.00
Mikrodermoabrazija,Tretmani lica,35.00,NE,,35.00
Tretman mimičkih bora (Skeyndor Corrective),Tretmani lica,50.00,NE,,50.00
Tretman za opskrbu kože kisikom (Skeyndor Power Oxygen),Tretmani lica,37.00,NE,,37.00
Face-lite tretman (obnova kolagena i smanjenje pigmentacijskih mrlja),Tretmani lica,10.00,NE,,10.00
Face-lite paket (10 tretmana),Tretmani lica,80.00,NE,,80.00
"Čišćenje lica, paket (5 + 1 gratis)",Tretmani lica,140.00,NE,,140.00
Eye Perfection (tretman za umorne oči + presoterapija),Tretmani lica,30.00,NE,,30.00
Manikura,Njega ruku i nokti,10.00,NE,,10.00
Manikura + lak,Njega ruku i nokti,13.00,NE,,13.00
Manikura + parafin,Njega ruku i nokti,18.00,NE,,18.00
Trajni lak s manikurom,Njega ruku i nokti,25.00,NE,,25.00
Trajni lak s jačom bazom (beton gel),Njega ruku i nokti,30.00,NE,,30.00
Trajni lak s produžavanjem (do 3 nokta),Njega ruku i nokti,28.00,NE,,28.00
Gel ugradnja na prirodne nokte,Njega ruku i nokti,35.00,NE,,35.00
Gel ugradnja: medium (šablone),Njega ruku i nokti,40.00,NE,,40.00
Gel ugradnja: large (šablone),Njega ruku i nokti,43.00,NE,,43.00
Gel ugradnja: XXXL (šablone),Njega ruku i nokti,50.00,NE,,50.00
Gel korekcija: medium (popravak do 4 nokta),Njega ruku i nokti,35.00,NE,,35.00
Gel korekcija: large,Njega ruku i nokti,38.00,NE,,38.00
Gel korekcija: XXXL,Njega ruku i nokti,44.00,NE,,44.00
Skidanje trajnog laka,Njega ruku i nokti,12.00,NE,,12.00
Skidanje gela,Njega ruku i nokti,15.00,NE,,15.00
Popravak do 2 nokta (trajni lak),Njega ruku i nokti,5.00,NE,,5.00
Popravak 1–2 nokta (gel),Njega ruku i nokti,7.00,NE,,7.00
"Nail art, zahtjevniji (1 nokat)",Njega ruku i nokti,3.00,NE,,3.00
Baby boomer / French / Chrome / Cat eye (10 noktiju),Njega ruku i nokti,10.00,NE,,10.00
Parafinska kupka ruke,Njega ruku i nokti,7.00,NE,,7.00
Hand Spa Ritual (peeling + parafin + masaža),Njega ruku i nokti,10.00,NE,,10.00
Ruska pedikura (suha tehnika),Njega stopala,30.00,NE,,30.00
Estetska njega stopala,Njega stopala,21.00,NE,,21.00
Estetska njega stopala + lak,Njega stopala,24.00,NE,,24.00
Estetska njega stopala + trajni lak,Njega stopala,35.00,NE,,35.00
Trajni lak: noge,Njega stopala,22.00,NE,,22.00
Trajni lak: ruke i noge,Njega stopala,42.00,NE,,42.00
Trajni lak ruke + noge (uz estetsku njegu stopala),Njega stopala,54.00,NE,,54.00
Parafinska kupka: noge,Njega stopala,9.00,NE,,9.00
Estetska njega + parafin,Njega stopala,29.00,NE,,29.00
Estetska njega + parafin + lak,Njega stopala,30.00,NE,,30.00
Estetska njega + parafin + trajni lak,Njega stopala,42.00,NE,,42.00
Dogradnja nokta: noge,Njega stopala,4.00,NE,,4.00
Bikini Basic,Lycon depilacija,15.00,NE,,15.00
Bikini California,Lycon depilacija,20.00,NE,,20.00
Bikini Hollywood,Lycon depilacija,30.00,NE,,30.00
Nadusnice,Lycon depilacija,13.00,NE,,13.00
Nadusnice i brada,Lycon depilacija,20.00,NE,,20.00
Lice,Lycon depilacija,22.00,NE,,22.00
Pazusi,Lycon depilacija,20.00,NE,,20.00
Cijele ruke,Lycon depilacija,18.00,NE,,18.00
Podkoljenice ili nadkoljenice,Lycon depilacija,23.00,NE,,23.00
Podkoljenice/nadkoljenice + Basic,Lycon depilacija,29.00,NE,,29.00
Podkoljenice/nadkoljenice + California,Lycon depilacija,32.00,NE,,32.00
Podkoljenice/nadkoljenice + Hollywood,Lycon depilacija,40.00,NE,,40.00
Cijele noge,Lycon depilacija,30.00,NE,,30.00
Cijele noge + Basic,Lycon depilacija,38.00,NE,,38.00
Cijele noge + California,Lycon depilacija,40.00,NE,,40.00
Cijele noge + Hollywood,Lycon depilacija,50.00,NE,,50.00
Prsa i trbuh,Lycon depilacija,35.00,NE,,35.00
Leđa: parcijalno,Lycon depilacija,40.00,NE,,40.00
Leđa: cijela,Lycon depilacija,72.00,NE,,72.00
Masaža: pola sata (leđa),Tretmani tijela i masaže,15.00,NE,,15.00
Masaža: sat vremena (cijelo tijelo),Tretmani tijela i masaže,30.00,NE,,30.00
"Parcijalna masaža, paket (5 tretmana)",Tretmani tijela i masaže,60.00,NE,,60.00
Čupanje obrva,Obrve i trepavice,8.00,NE,,8.00
Bojanje obrva,Obrve i trepavice,10.00,NE,,10.00
Brow lift (podizanje obrva),Obrve i trepavice,27.00,NE,,27.00
Lash lift (podizanje trepavica),Obrve i trepavice,33.00,NE,,33.00
Lash & Brow lift,Obrve i trepavice,50.00,NE,,50.00
